X,Y,Z
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
0,2,1.64
